entity_id,h_positionTime,h_receiveTime,heading,index_record,key,lat,lng,long_v,partition,positionTime,system.todate(ts),ts
,2021-05-27 19:50:35,2021-05-27 19:50:44,26.0,0.0,,21.03023,105.78133000000001,,,1622119835.0,,1622119844873
,2021-05-27 19:50:36,2021-05-27 19:50:44,26.0,1.0,,21.03023,105.78133000000001,,,1622119836.0,,1622119844873
,2021-05-27 19:50:37,2021-05-27 19:50:44,26.0,2.0,,21.03023,105.78133999999999,,,1622119837.0,,1622119844873
,2021-05-27 19:50:38,2021-05-27 19:50:44,26.0,3.0,,21.03024,105.78133999999999,,,1622119838.0,,1622119844873
,2021-05-27 19:50:39,2021-05-27 19:50:44,26.0,4.0,,21.03023,105.78133999999999,,,1622119839.0,,1622119844873
,2021-05-27 19:50:40,2021-05-27 19:50:44,26.0,5.0,,21.03023,105.78133999999999,,,1622119840.0,,1622119844873
,2021-05-27 19:50:45,2021-05-27 19:50:52,18.0,0.0,,21.03021,105.7813,,,1622119845.0,,1622119852895
,2021-05-27 19:50:46,2021-05-27 19:50:52,18.0,1.0,,21.03021,105.7813,,,1622119846.0,,1622119852895
,2021-05-27 19:50:47,2021-05-27 19:50:52,38.0,2.0,,21.03022,105.7813,,,1622119847.0,,1622119852895
,2021-05-27 19:50:48,2021-05-27 19:50:52,48.0,3.0,,21.03022,105.78132,,,1622119848.0,,1622119852895
,2021-05-27 19:50:49,2021-05-27 19:50:52,55.0,4.0,,21.03023,105.7813,,,1622119849.0,,1622119852895
,2021-05-27 19:50:50,2021-05-27 19:50:52,57.0,5.0,,21.03024,105.7813,,,1622119850.0,,1622119852895
,2021-05-27 19:50:51,2021-05-27 19:50:52,57.0,6.0,,21.03025,105.78133000000001,,,1622119851.0,,1622119852895
,2021-05-27 19:50:52,2021-05-27 19:50:52,57.0,7.0,,21.03025,105.78133000000001,,,1622119852.0,,1622119852895
,2021-05-27 19:50:53,2021-05-27 19:51:00,57.0,0.0,,21.030260000000002,105.78131,,,1622119853.0,,1622119860957
,2021-05-27 19:50:54,2021-05-27 19:51:00,59.0,1.0,,21.03027,105.78131,,,1622119854.0,,1622119860957
,2021-05-27 19:50:55,2021-05-27 19:51:00,76.0,2.0,,21.03031,105.78133000000001,,,1622119855.0,,1622119860957
,2021-05-27 19:50:56,2021-05-27 19:51:00,86.0,3.0,,21.03033,105.78133000000001,,,1622119856.0,,1622119860957
,2021-05-27 19:50:57,2021-05-27 19:51:00,88.0,4.0,,21.03035,105.7813,,,1622119857.0,,1622119860957
,2021-05-27 19:50:58,2021-05-27 19:51:00,92.0,5.0,,21.03039,105.7813,,,1622119858.0,,1622119860957
,2021-05-27 19:50:59,2021-05-27 19:51:00,93.0,6.0,,21.03044,105.78128000000001,,,1622119859.0,,1622119860957
,2021-05-27 19:51:00,2021-05-27 19:51:00,92.0,7.0,,21.0305,105.78125,,,1622119860.0,,1622119860957
,2021-05-27 19:51:01,2021-05-27 19:51:08,94.0,0.0,,21.03055,105.78126,,,1622119861.0,,1622119868900
,2021-05-27 19:51:02,2021-05-27 19:51:08,97.0,1.0,,21.03061,105.78126999999999,,,1622119862.0,,1622119868900
,2021-05-27 19:51:03,2021-05-27 19:51:08,97.0,2.0,,21.03067,105.78126,,,1622119863.0,,1622119868900
,2021-05-27 19:51:04,2021-05-27 19:51:08,99.0,3.0,,21.030720000000002,105.78126,,,1622119864.0,,1622119868900
,2021-05-27 19:51:05,2021-05-27 19:51:08,101.0,4.0,,21.03079,105.78126,,,1622119865.0,,1622119868900
,2021-05-27 19:51:06,2021-05-27 19:51:08,104.0,5.0,,21.03085,105.78126999999999,,,1622119866.0,,1622119868900
,2021-05-27 19:51:07,2021-05-27 19:51:08,1.0,6.0,,21.030910000000002,105.78128000000001,,,1622119867.0,,1622119868900
,2021-05-27 19:51:08,2021-05-27 19:51:08,2.0,7.0,,21.03096,105.78128000000001,,,1622119868.0,,1622119868900
,2021-05-27 19:51:09,2021-05-27 19:51:16,3.0,0.0,,21.031,105.7813,,,1622119869.0,,1622119876931
,2021-05-27 19:51:10,2021-05-27 19:51:16,4.0,1.0,,21.03105,105.7813,,,1622119870.0,,1622119876931
,2021-05-27 19:51:11,2021-05-27 19:51:16,4.0,2.0,,21.03109,105.7813,,,1622119871.0,,1622119876931
,2021-05-27 19:51:12,2021-05-27 19:51:16,3.0,3.0,,21.03112,105.78131,,,1622119872.0,,1622119876931
,2021-05-27 19:51:13,2021-05-27 19:51:16,0.0,4.0,,21.03115,105.78137,,,1622119873.0,,1622119876931
,2021-05-27 19:51:14,2021-05-27 19:51:16,101.0,5.0,,21.03117,105.78142,,,1622119874.0,,1622119876931
,2021-05-27 19:51:15,2021-05-27 19:51:16,94.0,6.0,,21.0312,105.78145,,,1622119875.0,,1622119876931
,2021-05-27 19:51:16,2021-05-27 19:51:16,78.0,7.0,,21.031229999999997,105.78145,,,1622119876.0,,1622119876931
,2021-05-27 19:51:17,2021-05-27 19:51:24,51.0,0.0,,21.03124,105.78141000000001,,,1622119877.0,,1622119884918
,2021-05-27 19:51:18,2021-05-27 19:51:24,38.0,1.0,,21.03126,105.78138,,,1622119878.0,,1622119884918
,2021-05-27 19:51:19,2021-05-27 19:51:24,32.0,2.0,,21.031270000000003,105.78133999999999,,,1622119879.0,,1622119884918
,2021-05-27 19:51:20,2021-05-27 19:51:24,28.0,3.0,,21.03128,105.7813,,,1622119880.0,,1622119884918
,2021-05-27 19:51:21,2021-05-27 19:51:24,26.0,4.0,,21.03129,105.78126,,,1622119881.0,,1622119884918
,2021-05-27 19:51:22,2021-05-27 19:51:24,26.0,5.0,,21.0313,105.7812,,,1622119882.0,,1622119884918
,2021-05-27 19:51:23,2021-05-27 19:51:24,22.0,6.0,,21.0313,105.78116000000001,,,1622119883.0,,1622119884918
,2021-05-27 19:51:24,2021-05-27 19:51:24,21.0,7.0,,21.03131,105.78108,,,1622119884.0,,1622119884918
,2021-05-27 19:51:25,2021-05-27 19:51:32,20.0,0.0,,21.03132,105.78102,,,1622119885.0,,1622119892907
,2021-05-27 19:51:26,2021-05-27 19:51:32,20.0,1.0,,21.03133,105.78095,,,1622119886.0,,1622119892907
,2021-05-27 19:51:27,2021-05-27 19:51:32,20.0,2.0,,21.03133,105.78097,,,1622119887.0,,1622119892907
,2021-05-27 19:51:28,2021-05-27 19:51:32,17.0,3.0,,21.03132,105.78092,,,1622119888.0,,1622119892907
,2021-05-27 19:51:29,2021-05-27 19:51:32,14.0,4.0,,21.03131,105.78087,,,1622119889.0,,1622119892907
,2021-05-27 19:51:30,2021-05-27 19:51:32,11.0,5.0,,21.0313,105.7808,,,1622119890.0,,1622119892907
,2021-05-27 19:51:31,2021-05-27 19:51:32,9.0,6.0,,21.03129,105.78073,,,1622119891.0,,1622119892907
,2021-05-27 19:51:32,2021-05-27 19:51:32,10.0,7.0,,21.0313,105.78068999999999,,,1622119892.0,,1622119892907
,2021-05-27 19:51:33,2021-05-27 19:51:40,10.0,0.0,,21.03128,105.78063,,,1622119893.0,,1622119900887
,2021-05-27 19:51:34,2021-05-27 19:51:40,13.0,1.0,,21.0313,105.78056000000001,,,1622119894.0,,1622119900887
,2021-05-27 19:51:35,2021-05-27 19:51:40,15.0,2.0,,21.03131,105.78048999999999,,,1622119895.0,,1622119900887
,2021-05-27 19:51:36,2021-05-27 19:51:40,15.0,3.0,,21.03131,105.78041999999999,,,1622119896.0,,1622119900887
,2021-05-27 19:51:37,2021-05-27 19:51:40,14.0,4.0,,21.0313,105.78036000000002,,,1622119897.0,,1622119900887
,2021-05-27 19:51:38,2021-05-27 19:51:40,15.0,5.0,,21.03131,105.7803,,,1622119898.0,,1622119900887
